angular_frequency_log_x,cycles_across_observed_span,mean_actual_power,mean_wheel_null_power,actual_to_null_power
1.451112003726099,0.9999999999999999,0.935436604790974,0.7215455330639039,1.2964346142076757
1.4907158328782926,1.0272920553689175,0.9399224532827309,0.7252517711334356,1.2959947023828764
1.5303196620304862,1.054584110737835,0.9440560659706669,0.7289139966962331,1.2951542572231494
1.5699234911826798,1.0818761661067526,0.9478478597953286,0.7325286759529461,1.2939395970571035
1.6095273203348732,1.10916822147567,0.9513105184499077,0.7360916367306686,1.2923805555992023
1.6491311494870668,1.1364602768445875,0.9544587044995156,0.739597985191881,1.29051014687647
1.6887349786392605,1.1637523322135053,0.9573087619925751,0.7430420459450022,1.2883641877561156
1.728338807791454,1.1910443875824228,0.9598784139492829,0.7464173278648044,1.285980882430883
1.7679426369436477,1.2183364429513404,0.9621864590458333,0.7497165174409107,1.2834003742243394
1.8075464660958414,1.245628498320258,0.9642524716855209,0.7529315009404234,1.2806642708947018
1.847150295248035,1.2729205536891754,0.9660965094621969,0.756053416106069,1.277815150201848
1.8867541244002286,1.3002126090580932,0.9677388317819353,0.7590727335245271,1.2748960528308395
1.9263579535524222,1.3275046644270105,0.9691996331199297,0.7619793672016102,1.2719499698257468
1.9659617827046159,1.3547967197959283,0.9704987940571639,0.7647628132828093,1.2690193314855562
2.0055656118568095,1.382088775164846,0.971655652871204,0.76741231527054,1.266145504230879
2.045169441009003,1.4093808305337634,0.9726888000541785,0.7699170535242198,1.2633683013017973
2.0847732701611967,1.4366728859026812,0.9736158977053785,0.7722663562967292,1.2607255123403103
2.1243770993133904,1.4639649412715985,0.9744535253031147,0.7744499290709295,1.2582524560007642
2.163980928465584,1.4912569966405163,0.9752170529076196,0.7764580985220942,1.2559815587780487
2.203584757617777,1.5185490520094336,0.9759205423911557,0.7782820670548123,1.2539419623071235
2.243188586769971,1.545841107378351,0.9765766768401263,0.7799141735534675,1.2521591605273943
2.2827924159221644,1.5731331627472687,0.9771967178337789,0.7813481557500402,1.2506546673751826
