block_id,actual_count_rmse,actual_psi_rmse,wheel_null_rmse,aggregate_count_ratio,aggregate_psi_ratio,low,high,midpoint
0,0.009321079648535032,0.009445364752398587,0.02110181684681165,1.0011814664402239,1.0021976868564209,1000000,1500000,1224744.871391589
1,0.007661698741608629,0.007569950002176009,0.019574461225689756,0.9985765701180538,0.99940406793389,1500000,2250000,1837117.3070873837
2,0.006346666629096726,0.006354838990108993,0.017129688727606285,0.9996904222426517,1.0003204389635756,2250000,3375000,2755675.960631076
3,0.005321316293812167,0.005326163102665797,0.017431802271695072,0.9999301256105542,1.0004743561084168,3375000,5062500,4133513.940946613
4,0.0046214405566127265,0.00453800596397238,0.01787072545967726,0.9988033352933319,0.9992582125227926,5062500,7593750,6200270.91141992
5,0.003793516530164593,0.003746210322458665,0.01564565001611691,0.9994036349559471,0.9997280496429531,7593750,11390625,9300406.36712988
6,0.0032092588562135254,0.003239756151578382,0.01581358046013419,1.000149262421451,1.0004371776959013,11390625,17085938,13950609.754818965
7,0.0027786839504596135,0.0027296553717755536,0.015629190039437933,0.9992786351399595,0.999500801795733,17085938,25628907,20925914.938414663
8,0.0022582608932216024,0.00225369933738916,0.015437313461406758,0.9999632028808486,1.0001372777508508,25628907,38443360,31388872.20349785
9,0.0019430800085180533,0.0019554503807296245,0.015285735991398073,1.0000261634845766,1.000178652649759,38443360,57665040,47083307.99906056
10,0.001575441601078277,0.0015605800944164243,0.015220201998000627,0.9997330233125032,0.9998546017410038,57665040,86497560,70624961.99859084
11,0.0025389878747501303,0.002531184265321022,0.015355321922838259,0.9998323460979485,0.9999441307889916,86497560,100000000,93004064.42731416
