bin_left,bin_right,count
0.0,0.05,0
0.05,0.1,0
0.1,0.15000000000000002,432143
0.15000000000000002,0.2,0
0.2,0.25,387370
0.25,0.30000000000000004,44744
0.30000000000000004,0.35000000000000003,522151
0.35000000000000003,0.4,208938
0.4,0.45,170871
0.45,0.5,149243
0.5,0.55,111123
0.55,0.6000000000000001,262660
0.6000000000000001,0.65,60602
0.65,0.7000000000000001,388773
0.7000000000000001,0.75,111790
0.75,0.8,203099
0.8,0.8500000000000001,89649
0.8500000000000001,0.9,127614
0.9,0.9500000000000001,80464
0.9500000000000001,1.0,156900
1.0,1.05,155895
1.05,1.1,107143
1.1,1.1500000000000001,115609
1.1500000000000001,1.2000000000000002,65372
1.2000000000000002,1.25,105955
1.25,1.3,50760
1.3,1.35,143069
1.35,1.4000000000000001,76327
1.4000000000000001,1.4500000000000002,85143
1.4500000000000002,1.5,53099
1.5,1.55,67149
1.55,1.6,55130
1.6,1.6500000000000001,77137
1.6500000000000001,1.7000000000000002,90283
1.7000000000000002,1.75,59773
1.75,1.8,53073
1.8,1.85,34097
1.85,1.9000000000000001,45379
1.9000000000000001,1.9500000000000002,27010
1.9500000000000002,2.0,56610
2.0,2.0500000000000003,37076
2.0500000000000003,2.1,37673
2.1,2.15,27647
2.15,2.2,30663
2.2,2.25,27325
2.25,2.3000000000000003,30694
2.3000000000000003,2.35,36195
2.35,2.4000000000000004,26468
2.4000000000000004,2.45,26024
2.45,2.5,17788
2.5,2.5500000000000003,20413
2.5500000000000003,2.6,13748
2.6,2.6500000000000004,23319
2.6500000000000004,2.7,17214
2.7,2.75,18098
2.75,2.8000000000000003,14616
2.8000000000000003,2.85,13711
2.85,2.9000000000000004,12046
2.9000000000000004,2.95,12275
2.95,3.0,14310
3.0,3.0500000000000003,11171
3.0500000000000003,3.1,11437
3.1,3.1500000000000004,8138
3.1500000000000004,3.2,9751
3.2,3.25,7002
3.25,3.3000000000000003,11955
3.3000000000000003,3.35,9401
3.35,3.4000000000000004,8423
3.4000000000000004,3.45,6710
3.45,3.5,6184
3.5,3.5500000000000003,5560
3.5500000000000003,3.6,5574
3.6,3.6500000000000004,6502
3.6500000000000004,3.7,5152
3.7,3.75,5168
3.75,3.8000000000000003,3687
3.8000000000000003,3.85,5005
3.85,3.9000000000000004,3765
3.9000000000000004,3.95,4642
3.95,4.0,3735
4.0,4.05,3587
4.05,4.1000000000000005,2985
4.1000000000000005,4.15,2584
4.15,4.2,2349
4.2,4.25,2457
4.25,4.3,2849
4.3,4.3500000000000005,2307
4.3500000000000005,4.4,2342
4.4,4.45,1824
4.45,4.5,1952
4.5,4.55,1533
4.55,4.6000000000000005,1942
4.6000000000000005,4.65,1750
4.65,4.7,1603
4.7,4.75,1324
4.75,4.800000000000001,1174
4.800000000000001,4.8500000000000005,1110
4.8500000000000005,4.9,1056
4.9,4.95,1289
4.95,5.0,1137
5.0,inf,15390
